SampleID,Acinetobacter,Actinobacillus,Actinomyces,Adlercreutzia,Aerococcus,Afipia,Agrobacterium,Anaerococcus,Anoxybacillus,Aquabacterium,Arthrobacter,Bacillus,Bacteroides,Bifidobacterium,Brachybacterium,Brevibacillus,Brevibacterium,Brevundimonas,Burkholderia,Caulobacter,Cloacibacterium,Coprococcus,Corynebacterium,Deinococcus,Delftia,Enhydrobacter,Enterobacter,Enterococcus,Flavobacterium,Fusobacterium,Gardnerella,Gemella,Haemophilus,Herbaspirillum,Hymenobacter,Hyphomicrobium,Janthinobacterium,Jeotgalicoccus,Kocuria,Kytococcus,Lactobacillus,Lactococcus,Leuconostoc,Macrococcus,Massilia,Microbacterium,Micrococcus,Mucispirillum,Neisseria,Oscillospira,Paracoccus,Peptoniphilus,Porphyromonas,Prevotella,Pseudomonas,Psychrobacter,Rhodococcus,Rothia,Ruminococcus,Sediminibacterium,Sphingobacterium,Staphylococcus,Stenotrophomonas,Streptococcus,Streptomyces,Turicibacter,Veillonella,Weissella,Cutibacterium
LK16S009-253,0.396626298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086072664,0,0,0,0,0,0,0,0,0.024221453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03633218,0.189446367,0,0,0,0,0,0,0.113754325,0.028979239,0.073096886,0.025086505,0,0,0,0.026384083
LK16S009-254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.718085106,0,0,0,0,0,0,0,0,0.281914894,0,0,0,0,0
LK16S009-255,0.250965251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017226017,0.003861004,0,0.059103059,0,0,0.002970003,0,0,0,0,0,0,0,0.031482031,0,0,0,0,0,0,0.032076032,0,0.037422037,0,0,0.010692011,0.113157113,0.019008019,0,0.023166023,0,0,0,0,0.168993169,0,0.021087021,0,0.024651025,0,0,0,0,0.051381051,0.074844075,0,0,0,0.057915058
LK16S009-256,0.07532379,0.052488071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029652352,0,0,0,0,0.012951602,0,0,0,0,0,0,0,0,0.019768234,0,0,0,0,0.023176551,0,0.002385821,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044308112,0,0,0,0,0,0,0.01465576,0,0.688139059,0,0.024539877,0,0,0.01261077
LK16S009-257,0.321296296,0,0.027777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065740741,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017592593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244444444,0,0,0,0,0,0,0.060185185,0,0.192592593,0.066666667,0,0.003703704,0,0
LK16S009-258,0.141680395,0,0,0,0,0.345963756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05107084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02306425,0,0,0,0,0,0,0,0.217462932,0,0,0,0,0,0,0.077429984,0,0,0.143327842,0,0,0,0
LK16S009-259,0.030716724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020477816,0,0.068259386,0,0,0,0,0,0,0,0,0,0,0,0.081911263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110921502,0,0.076791809,0,0,0.092150171,0,0,0.008532423,0.510238908,0,0,0,0,0
LK16S009-260,0.27480457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185808779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013229104,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179194227,0,0,0,0,0.035478052,0.024052916,0.243535779,0,0,0,0,0,0.008418521,0.035478052
LK16S009-261,0.076923077,0,0,0,0,0.340659341,0,0,0,0,0.04532967,0,0,0,0,0,0,0,0.096153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078296703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070054945,0,0,0,0,0,0,0,0,0,0,0.01510989,0,0.019230769,0.18956044,0.068681319,0,0,0,0
LK16S009-262,0.167307692,0,0,0,0,0.248076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034615385,0,0,0,0,0,0,0,0,0,0,0,0,0.106730769,0,0,0,0,0,0,0,0.172115385,0,0,0,0.125,0,0,0.038461538,0,0.096153846,0,0,0,0,0.011538462
LK16S009-263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131034483,0,0,0,0,0,0,0,0,0.156321839,0,0,0,0,0,0,0,0,0,0,0,0.540229885,0,0,0,0,0,0,0,0,0.172413793,0,0,0,0,0
LK16S009-264,0.262206148,0,0,0,0,0.122965642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090415913,0,0,0.054249548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.470162749,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK16S009-265,0.218340611,0,0,0,0,0,0,0,0.22489083,0,0,0.148471616,0,0,0,0,0,0,0,0.102620087,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024017467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135371179,0,0,0,0,0,0,0,0.14628821,0,0,0,0,0,0
LK16S009-266,0.470914127,0,0,0,0,0,0.03601108,0,0,0,0,0.020775623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060941828,0,0.031855956,0,0,0,0,0.12465374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049861496,0,0,0,0,0.102493075,0,0,0,0,0,0,0,0.102493075,0,0,0,0,0,0
LK16S009-268,0.212741752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087599545,0,0,0.043230944,0,0,0.084186576,0,0.013651877,0,0,0,0,0,0.100113766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060295791,0,0,0,0.158134243,0,0.043230944,0,0,0,0,0.053469852,0,0.14334471,0,0,0,0,0
LK16S009-269,0.037471191,0,0,0,0.001311293,0,0,0,0,0,0,0,0.001589446,0,0.006079631,0,0.002423905,0.06071684,0,0,0,0,0.048716522,0,0,0.010450608,0,0.002861003,0,0,0,0,0,0,0,0,0,0.007192244,0.001867599,0.006000159,0,0,0,0.003417309,0,0,0.097433045,0,0.002264961,0,0.001390765,0,0,0,0.00413256,0,0,0,0,0,0.157116745,0.010649289,0.531232615,0,0.003377573,0,0,0,0.001708655
LK16S009-270,0.079913607,0,0,0,0,0.184665227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072354212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.587473002,0,0,0,0,0,0,0,0,0,0.075593952,0,0,0,0
LK16S009-271,0.235112936,0,0,0,0,0,0,0,0,0,0,0.00513347,0,0.057494867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107289528,0,0,0,0,0,0,0,0.012320329,0,0,0,0,0,0,0,0.124229979,0,0,0,0,0,0,0.111396304,0.050308008,0.187371663,0.100102669,0,0,0,0.009240246
LK16S009-272,0.116770186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134161491,0,0,0,0,0,0.403726708,0,0,0,0,0,0,0.060869565,0,0,0,0,0,0,0,0.172670807,0,0,0,0,0,0,0,0,0.111801242,0,0,0,0,0
LK16S009-273,0.578005115,0,0.03026428,0,0,0,0.008951407,0,0,0,0,0.008525149,0,0,0,0,0,0,0.027706735,0,0,0,0,0,0,0,0,0,0,0.020886616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035805627,0,0.00341006,0,0,0,0,0,0,0,0.143648764,0,0,0,0,0,0,0,0,0.004262575,0.135123615,0,0,0,0.00341006
LK16S009-274,0.195888064,0,0,0,0,0,0,0,0.005711022,0,0,0.167904055,0,0.0513992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075385494,0.109651628,0,0,0,0,0,0,0,0.066247858,0,0,0,0,0,0,0,0,0.055968018,0.17704169,0,0.056539121,0,0.038263849
LK16S009-275,0.241079597,0,0,0,0,0,0,0,0,0,0.045288198,0.089661482,0,0,0,0,0,0.074565416,0.045288198,0.050777676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051235133,0,0,0,0,0,0,0.010978957,0.225983532,0,0,0,0,0,0,0.052607502,0,0.03568161,0.036139067,0,0,0,0.040713632
